mes,municipio,repasse_sefaz,repasse_liquido_sefaz,fundeb_sefaz
Fevereiro,Monsenhor Tabosa,826801.71,661442.24,165359.47
Fevereiro,Morada Nova,2889024.58,2311220.72,577803.86
Fevereiro,Moraújo,941478.56,753184.2,188294.36
Fevereiro,Morrinhos,1065761.5,852609.85,213151.65
Fevereiro,Mucambo,986128.47,788903.64,197224.83
Fevereiro,Mulungu,712497.06,569998.75,142498.31
Fevereiro,Nova Olinda,945986.46,756790.3,189196.16
Fevereiro,Nova Russas,1187412.22,949931.0,237481.22
Fevereiro,Novo Oriente,1024142.9,819315.23,204827.67
Fevereiro,Ocara,819732.14,655786.81,163945.33
Fevereiro,Orós,830900.09,664721.02,166179.07
Fevereiro,Pacajus,2810156.63,2248126.35,562030.28
Fevereiro,Pacatuba,2866167.15,2292934.93,573232.22
Fevereiro,Pacoti,802130.43,641704.79,160425.64
Fevereiro,Pacujá,932012.89,745611.21,186401.68
Fevereiro,Palhano,693779.93,555025.3,138754.63
Fevereiro,Palmácia,768304.78,614644.75,153660.03
Fevereiro,Paracuru,1472600.19,1178081.44,294518.75
Fevereiro,Paraipaba,1342718.34,1074175.5,268542.84
Fevereiro,Parambu,991304.61,793044.67,198259.94
Fevereiro,Paramoti,1122087.25,897671.31,224415.94
Fevereiro,Pedra Branca,1435762.75,1148611.1,287151.65
Fevereiro,Penaforte,715372.17,572299.06,143073.11
Fevereiro,Pentecoste,1044870.59,835897.74,208972.85
Fevereiro,Pereiro,1118917.1,895135.25,223781.85
Fevereiro,Pindoretama,902821.66,722258.57,180563.09
Fevereiro,Piquet Carneiro,1242375.04,993901.05,248473.99
Fevereiro,Pires Ferreira,858736.83,686990.38,171746.45
Fevereiro,Poranga,996395.52,797117.68,199277.84
Fevereiro,Porteiras,917147.17,733718.98,183428.19
Fevereiro,Potengi,853733.64,682987.92,170745.72
Fevereiro,Potiretama,1092844.79,874276.65,218568.14
Fevereiro,Quiterianópolis,1069478.98,855584.24,213894.74
Fevereiro,Quixadá,2141750.17,1713401.61,428348.56
Fevereiro,Quixelô,892818.89,714255.97,178562.92
Fevereiro,Quixeramobim,3144039.7,2515232.28,628807.42
Fevereiro,Quixeré,3118207.14,2494566.15,623640.99
Fevereiro,Redenção,965529.19,772424.45,193104.74
Fevereiro,Reriutaba,1052381.88,841906.53,210475.35
Fevereiro,Russas,2257841.13,1806274.01,451567.12
Fevereiro,Saboeiro,623772.91,499019.89,124753.02
Fevereiro,Salitre,938995.88,751197.95,187797.93
Fevereiro,Santa Quitéria,1636575.09,1309261.63,327313.46
Fevereiro,Santana Do Acaraú,1013758.93,811008.15,202750.78
Fevereiro,Santana Do Cariri,764027.55,611223.26,152804.29
Fevereiro,Senador Pompeu,1591341.59,1273074.73,318266.86
Fevereiro,Senador Sá,1158020.5,926417.73,231602.77
Fevereiro,Sobral,9821077.83,7856863.04,1964214.79
Fevereiro,Solonópole,1518478.4,1214783.58,303694.82
Fevereiro,São Benedito,1312184.95,1049749.02,262435.93
Fevereiro,São Gonçalo Do Amarante,18159910.51,14527928.78,3631981.73
Fevereiro,São João Do Jaguaribe,841697.38,673358.96,168338.42
Fevereiro,São Luís Do Curu,662032.08,529626.8,132405.28
Fevereiro,Tabuleiro Do Norte,1187456.86,949966.84,237490.02
Fevereiro,Tamboril,1018706.68,814966.28,203740.4
Fevereiro,Tarrafas,846005.79,676805.61,169200.18
Fevereiro,Tauá,1520697.33,1216558.62,304138.71
Fevereiro,Tejuçuoca,612837.34,490271.41,122565.93
Fevereiro,Tianguá,2551177.73,2040942.81,510234.92
Fevereiro,Trairi,2518075.86,2014461.55,503614.31
Fevereiro,Tururu,811770.8,649418.18,162352.62
Fevereiro,Ubajara,1632384.23,1305908.52,326475.71
Fevereiro,Umari,954646.44,763718.19,190928.25
Fevereiro,Umirim,726414.63,581133.08,145281.55
Fevereiro,Uruburetama,766295.21,613037.17,153258.04
Fevereiro,Uruoca,1789037.79,1431231.67,357806.12
Fevereiro,Varjota,1126250.69,901002.04,225248.65
Fevereiro,Viçosa Do Ceará,870948.59,696759.63,174188.96
Fevereiro,Várzea Alegre,1185557.32,948447.14,237110.18
Março,Abaiara,776181.2,620946.66,155234.54
Março,Acarapé,886356.07,709086.19,177269.88
Março,Acaraú,2295492.86,1836395.62,459097.24
Março,Acopiara,858856.91,687087.28,171769.63
Março,Aiuaba,781750.49,625402.53,156347.96
Março,Alcântaras,874986.96,699990.92,174996.04
Março,Altaneira,990172.81,792139.42,198033.39
Março,Alto Santo,1071525.23,857221.47,214303.76
Março,Amontada,1413159.62,1130528.19,282631.43
Março,Antonina Do Norte,987684.39,790149.13,197535.26
Março,Apuiarés,629275.02,503422.27,125852.75
Março,Aquiraz,8725087.22,6980070.58,1745016.64
Março,Aracati,3927887.75,3142311.54,785576.21
Março,Aracoiaba,786958.22,629568.2,157390.02
Março,Ararendá,1010651.95,808522.67,202129.28
Março,Araripe,706140.18,564914.52,141225.66
Março,Aratuba,773640.95,618914.06,154726.89
Março,Arneiroz,735865.67,588694.54,147171.13
Março,Assaré,960652.52,768523.92,192128.6
Março,Aurora,809858.11,647887.93,161970.18
Março,Baixio,884577.64,707663.53,176914.11
Março,Banabuiú,1117393.02,893915.32,223477.7
Março,Barbalha,2788947.42,2231159.31,557788.11
Março,Barreira,905727.42,724583.12,181144.3
Março,Barro,656289.06,525032.37,131256.69
Março,Barroquinha,881937.24,705551.17,176386.07
Março,Baturité,997274.35,797820.67,199453.68
Março,Beberibe,2073199.15,1658560.49,414638.66
Março,Bela Cruz,919649.47,735720.72,183928.75
Março,Boa Viagem,1280790.45,1024633.99,256156.46
Março,Brejo Santo,2258170.82,1806537.92,451632.9
Março,Camocim,1769945.23,1415957.65,353987.58
Março,Campos Sales,897520.39,718017.49,179502.9
Março,Canindé,1719145.7,1375317.59,343828.11
Março,Capistrano,771474.38,617180.76,154293.62
Março,Caridade,1305423.44,1044340.27,261083.17
Março,Caririaçu,853569.99,682857.94,170712.05
Março,Cariré,1059210.04,847369.53,211840.51
Março,Cariús,891220.63,712977.83,178242.8
Março,Carnaubal,923992.57,739195.25,184797.32
Março,Cascavel,2213568.11,1770855.57,442712.54
Março,Catarina,773733.07,618987.98,154745.09
Março,Catunda,887237.02,709790.87,177446.15
Março,Caucaia,14767635.64,11814108.86,2953526.78
Março,Cedro,994521.28,795618.25,198903.03
Março,Chaval,704073.61,563260.8,140812.81
